								PROMO

ESTOQUE	SKU BASE	CODIGO ASIN	SKU ANUNCIO	PRODUTO	PREÇO DE CUSTO	PREÇO DE VENDA	COMISSÃO AMZ	TARIFA FBA	IMPOSTO	CAIXA	EMBALGEM	FRETE	ADS	DEVOLUÇÕES	PARCELAMENTO	MARGEM	LUCRO LIQ
1.684	KIT2YW640	B0F9ZP5JMW	KIT2YW640	Kit 2pç 640ml Retangular	R$ 12,64	R$ 35,90	R$ 4,31	R$ 5,00	R$ 2,51	R$ 1,20	R$ 0,50	R$ 0,00	R$ 0,00	R$ 1,44	R$ 0,00	23%	R$ 8,30
851	KIT4YW640	B0F9ZG7MSH	KIT4YW640	Kit 4pç 640ml Retangular	R$ 24,25	R$ 65,90	R$ 7,91	R$ 5,00	R$ 4,61	R$ 1,20	R$ 0,50	R$ 0,00	R$ 0,00	R$ 2,64	R$ 0,99	29%	R$ 18,80
1.311	KIT2YW800SQ	B0FFTRH3DM / B0DCQ5DNRZ	KIT2YW800SQ_T_ / KIT2YW800SQ_T	Kit 2pç 800ml Quadrado	R$ 14,18	R$ 49,90	R$ 5,99	R$ 5,00	R$ 3,49	R$ 1,20	R$ 0,50	R$ 0,00	R$ 0,00	R$ 2,00	R$ 0,75	34%	R$ 16,79
729	KIT4YW800SQ	B0FB48RR1T /B0DCQH14RC	KIT4YW800SQ / KIT4YW800SQ_T_	Kit 4pç 800ml Quadrado	R$ 27,11	R$ 129,90	R$ 15,59	R$ 0,00	R$ 9,09	R$ 0,97	R$ 0,50	R$ 0,00	R$ 25,98	R$ 5,20	R$ 1,95	33%	R$ 43,51
1.362	KIT2YW1050	B0FB1523N3	KIT2YW1050	Kit 2pç 1050ml Retangular	R$ 17,10	R$ 49,90	R$ 5,99	R$ 5,00	R$ 3,49	R$ 0,97	R$ 0,50	R$ 0,00	R$ 9,98	R$ 2,00	R$ 0,75	8%	R$ 4,12
656	KIT4YW1050	B0F9ZHCZ84	KIT4YW1050	Kit 4pç 1050ml Retangular	R$ 32,90	R$ 84,90	R$ 10,19	R$ 5,00	R$ 5,94	R$ 1,20	R$ 0,50	R$ 0,00	R$ 0,00	R$ 3,40	R$ 1,27	29%	R$ 24,50
173	KIT2YW1520	B0F3PF22Y4	KIT2YW1520AZ	Kit 2pç 1520ml Retangular	R$ 22,70	R$ 59,90	R$ 7,19	R$ 5,00	R$ 4,19	R$ 1,20	R$ 0,50	R$ 0,00	R$ 11,98	R$ 2,40	R$ 0,90	6%	R$ 3,84
126	KIT4YW1520	B0F3PF22Y4	KIT4YW1520AZ	Kit 4pç 1520ml Retangular	R$ 44,39	R$ 115,90	R$ 13,91	R$ 0,00	R$ 8,11	R$ 1,20	R$ 0,50	R$ 0,00	R$ 23,18	R$ 4,64	R$ 1,74	16%	R$ 18,23
35	54171P_B	B0GGV3GW6H	XCP004	Kit 6 Xicaras Cafe Cha Porcelana 170ml Coloridas - Conjunto Caneca  Cozinha(Preto)	R$ 21,00	R$ 60,87	R$ 7,30	R$ 5,00	R$ 4,26	R$ 0,97	R$ 0,50	R$ 0,00	R$ 12,17	R$ 2,43	R$ 0,91	10%	R$ 6,31
9	COLORS170_B	B0GGTRQPRC	XCP002	Jogo 6 Xícaras 170ml, Colorida, RR	R$ 25,26	R$ 64,87	R$ 7,78	R$ 5,00	R$ 4,54	R$ 0,97	R$ 0,50	R$ 0,00	R$ 12,97	R$ 2,59	R$ 0,97	7%	R$ 4,27
33	54171R_B	B0GGTRYN4Q	XCP003	Kit 6 Xicaras Cafe Cha Porcelana 170ml Coloridas - Conjunto Caneca  Cozinha(Rosa)	R$ 21,00	R$ 60,87	R$ 7,30	R$ 5,00	R$ 4,26	R$ 0,97	R$ 0,50	R$ 0,00	R$ 12,17	R$ 2,43	R$ 0,91	10%	R$ 6,31
0	K6CAN250	B0GFPF42HC	K6CAN250	Kit 6 Canecas Canelada Porcelana 250ml Coloridas Café Chá Xícara	R$ 25,80	R$ 78,90	R$ 9,47	R$ 5,00	R$ 5,52	R$ 0,97	R$ 0,50	R$ 0,00	R$ 15,78	R$ 3,16	R$ 1,18	15%	R$ 11,52
355	914A_B	B0G8RHLRFW	914C_BA	Kit 6 Canequinhas De 100 Ml Com Suporte De Madeira Acrílico	R$ 7,70	R$ 19,90	R$ 2,39	R$ 5,00	R$ 1,39	R$ 0,97	R$ 0,97	R$ 0,00	R$ 3,98	R$ 0,80	R$ 0,00	-17%	-R$ 3,30
77	914C_B	B0G2SV7NR1	914C_BB	Jogo de Canequinha 6 peças de 100 ml c/ Suporte, Coloridas, Redar	R$ 18,48	R$ 41,90	R$ 5,03	R$ 5,00	R$ 2,93	R$ 0,97	R$ 0,50	R$ 0,00	R$ 8,38	R$ 1,68	R$ 0,63	-4%	-R$ 1,70
31	CAR200-Colorida		KIT6CAR200	Kit 6 Caneca Porcelanda Reta 200ml Colorida	R$ 19,80	R$ 55,90	R$ 6,71	R$ 5,00	R$ 3,91	R$ 0,97	R$ 0,50	R$ 0,00	R$ 11,18	R$ 2,24	R$ 0,84	9%	R$ 4,75
84	CAR200AZ		KIT6CAR200AZ	Kit 6 Caneca Porcelana Reta 200ml Azul	R$ 19,80	R$ 55,90	R$ 6,71	R$ 5,00	R$ 3,91	R$ 0,97	R$ 0,50	R$ 0,00	R$ 11,18	R$ 2,24	R$ 0,84	9%	R$ 4,75
68	CAR200VD		KIT6CAR200VD	Kit 6 Caneca Porcelana Reta 200ml Verde	R$ 19,80	R$ 55,90	R$ 6,71	R$ 5,00	R$ 3,91	R$ 0,97	R$ 0,50	R$ 0,00	R$ 11,18	R$ 2,24	R$ 0,84	9%	R$ 4,75
70	CAR200AM		CAR200AM	Kit 6 Caneca Porcelana Reta 200ml Amarela	R$ 19,80	R$ 55,90	R$ 6,71	R$ 5,00	R$ 3,91	R$ 0,97	R$ 0,50	R$ 0,00	R$ 11,18	R$ 2,24	R$ 0,84	9%	R$ 4,75
32	CAR200R		CAR200R	Kit 6 Caneca Porcelana Reta 200ml Rosa	R$ 19,80	R$ 55,90	R$ 6,71	R$ 5,00	R$ 3,91	R$ 0,97	R$ 0,50	R$ 0,00	R$ 11,18	R$ 2,24	R$ 0,84	9%	R$ 4,75
32	CAR200B		KIT6CAR200B	Kit 6 Caneca Porcelana Reta 200ml Branco	R$ 19,80	R$ 55,90	R$ 6,71	R$ 5,00	R$ 3,91	R$ 0,97	R$ 0,50	R$ 0,00	R$ 11,18	R$ 2,24	R$ 0,84	9%	R$ 4,75
