								R$ 552.311,29
						R$ 130,54		R$ 130,54
ESTOQUE	SKU BASE	DESCRIÇÃO	CUSTO	EAN	NCM	MARCA	CUSTO ESTOQUE TOTAL	Quantidade	Devolução/Semana
39	914C_BAV	Jogo de Canequinha 6 peças de 90ml c/ Suporte, Vermelho	R$ 7,70				R$ 300,30
355	914A_B	Jogo de Canequinha acrilico 6 peças de 90ml c/ Suporte, Coloridas	R$ 7,70				R$ 2.733,50
24	914A_B4	Jogo de Canequinha acrilico 4 peças de 90ml c/ Suporte, Coloridas	R$ 5,80				R$ 139,20
24	914C_B4	Jogo de Canequinha 4 peças de 90ml c/ Suporte, Coloridas	R$ 12,60				R$ 302,40
46	SPC011	Suporte Gamer 2 Controles e Headset Mesa Organizador PS5 PS4 Xbox Switch Preto	R$ 7,00			GB IMPORTADORA	R$ 322,00
0	SPC012	Suporte Gamer 2 Controles e Headset Mesa Organizador PS5 PS4 Xbox Switch Branco	R$ 7,00			GB IMPORTADORA	R$ 0,00
149	SPC013	Suporte Gamer 2 Controles e Headset Mesa Organizador PS5 PS4 Xbox Switch Cru	R$ 3,90			GB IMPORTADORA	R$ 581,10
430	CNCOL24	Canetas Marcador 1,6 x 15,3cm c/24pcs	R$ 8,13	7898976402316	9608.20.00		R$ 3.495,90
653	CNCOL48	Canetas Marcador 1,6 x 15,3cm c/48pcs	R$ 16,49	7898976402323	9608.20.00		R$ 10.767,97
754	CNCOL80	Canetas Marcador 1,6 x 15,3cm c/80pcs	R$ 26,67	7898976402330	9608.20.00		R$ 20.109,18
4680	LIVCOL1	Livro de colorir 16 x 22cm	R$ 4,76	 7898976402231	4903.00.00		R$ 22.276,80
684	TL250V	 Canecas Porcelana Tulipa Lisa 250ml verde	R$ 3,80	7899888500053
	6912.00.00		R$ 2.599,20
534	TL250P	 Canecas Porcelana Tulipa Lisa 250ml Preto	R$ 3,80	7899888500022
	6912.00.00		R$ 2.029,20	8	R$ 30,40
710	TL250Z	 Canecas Porcelana Tulipa Lisa 250ml Azul	R$ 3,80	7899888500084
	6912.00.00		R$ 2.698,00
113	TL250R	 Canecas Porcelana Tulipa Lisa 250ml Rosa	R$ 3,80		6912.00.00		R$ 429,40	2	R$ 7,60
210	TL250A	 Canecas Porcelana Tulipa Lisa 250ml Amarelo	R$ 3,80	7899888500060
	6912.00.00		R$ 798,00	2	R$ 7,60
583	TL250B	 Canecas Porcelana Tulipa Lisa 250ml Branco	R$ 3,80	7899888500015	6912.00.00		R$ 2.215,40
54	CAC250B	Caneca Porcelana Canelada 250ml Branco	R$ 4,30				R$ 232,20
261	CAC250P	Caneca Porcelana Canelada 250ml Preto	R$ 4,30				R$ 1.122,30	1	R$ 4,30
204	CAC250R	Caneca Porcelana Canelada 250ml Rosa	R$ 4,30				R$ 877,20
137	CAC250AZ	Caneca Porcelana Canelada 250ml Azul	R$ 4,30				R$ 589,10
286	CAC250VD	Caneca Porcelana Canelada 250ml Verde	R$ 4,30				R$ 1.229,80	4	R$ 17,20
0	CAC250AM	Caneca Porcelana Canelada 250ml Amarelo	R$ 4,30				R$ 0,00
189	CAR200B	Caneca Porcelana Reta 200ml Branco	R$ 3,30		6911.10.10		R$ 623,70	6	R$ 19,80
459	CAR200P	Caneca Porcelana Reta 200ml Preto	R$ 3,30		6911.10.10		R$ 1.514,70
405	CAR200VD	Caneca Porcelana Reta 200ml Verde	R$ 3,30		6911.10.10		R$ 1.336,50
503	CAR200AZ	Caneca Porcelana Reta 200ml Azul	R$ 3,30		6911.10.10		R$ 1.659,90
417	CAR200AM	Caneca Porcelana Reta 200ml Amarela	R$ 3,30		6911.10.10		R$ 1.376,10
194	CAR200R	Caneca Porcelana Reta 200ml Rosa	R$ 3,30		6911.10.10		R$ 640,20
2.304	YW520SQ	Pote de Vidro Hermético 520ml QUADRADO 14x14x7	R$ 4,70	7898975019058	7013.49.00	GB IMPORTADORA	R$ 10.828,80
2.342	YW800SQ_T	Pote de Vidro Hermético 800ml QUADRADO 16x16x7	R$ 6,11	7898972482978	7013.49.00	GB IMPORTADORA	R$ 14.309,62
3.059	YW640RC	Pote Hermético Retangular 640ml	R$ 5,28		7013.49.00	GB IMPORTADORA	R$ 16.151,52
2.355	YW1050RC	Pote Hermético Retangular 1050ml	R$ 7,59		7013.49.00	GB IMPORTADORA	R$ 17.874,45
345	YW1520RC	Pote Hermético Retangular 1520ml	R$ 10,05		7013.49.00	GB IMPORTADORA	R$ 3.467,25
3600	YW320SQ	Pote Hermético Quadrado 320ml	R$ 3,80		7013.49.00	GB IMPORTADORA	R$ 13.680,00
126	KIT3S096	Kit 3pç (320+520+800ml) Quadrado	R$ 17,69		7013.49.00	GB IMPORTADORA	R$ 2.228,94
179	KIT6S097	Kit 6pç (2x320+2x520+2x800ml) Quad.	R$ 33,58		7013.49.00	GB IMPORTADORA	R$ 6.010,82
200	KIT9S098	Kit 9pç (3x320+3x520+3x800ml) Quad.	R$ 50,73		7013.49.00	GB IMPORTADORA	R$ 10.146,00
159	KIT2YW320	Kit 2pç 320ml Quadrado	R$ 9,19		7013.49.00	GB IMPORTADORA	R$ 1.461,21
77	KIT4YW320	Kit 4pç 320ml Quadrado	R$ 17,55		7013.49.00	GB IMPORTADORA	R$ 1.351,35
203	KIT2YW520SQ	Kit 2pç 520ml Quadrado	R$ 11,23		7013.49.00	GB IMPORTADORA	R$ 2.279,69
184	KIT4YW520SQ	Kit 4pç 520ml Quadrado	R$ 21,70		7013.49.00	GB IMPORTADORA	R$ 3.992,80
140	KIT2YW800SQ	Kit 2pç 800ml Quadrado	R$ 14,18		7013.49.00	GB IMPORTADORA	R$ 1.985,20
143	KIT4YW800SQ	Kit 4pç 800ml Quadrado	R$ 27,11		7013.49.00	GB IMPORTADORA	R$ 3.876,73
59	KIT3S099	Kit 3pç (640+1050+1520ml) Retangular	R$ 27,43		7013.49.00	GB IMPORTADORA	R$ 1.618,37
292	KIT6S100	Kit 6pç (2x640+2x1050+2x1520ml) Ret.	R$ 52,16		7013.49.00	GB IMPORTADORA	R$ 15.230,72
179	KIT9S101	Kit 9pç (3x640+3x1050+3x1520ml) Ret.	R$ 77,19		7013.49.00	GB IMPORTADORA	R$ 13.817,01
154	KIT2YW640	Kit 2pç 640ml Retangular	R$ 12,64		7013.49.00	GB IMPORTADORA	R$ 1.946,56
86	KIT4YW640	Kit 4pç 640ml Retangular	R$ 24,25		7013.49.00	GB IMPORTADORA	R$ 2.085,50
184	KIT2YW1050	Kit 2pç 1050ml Retangular	R$ 17,10		7013.49.00	GB IMPORTADORA	R$ 3.146,40
67	KIT4YW1050	Kit 4pç 1050ml Retangular	R$ 32,90		7013.49.00	GB IMPORTADORA	R$ 2.204,30
0	KIT2YW1520	Kit 2pç 1520ml Retangular	R$ 22,70		7013.49.00	GB IMPORTADORA	R$ 0,00
40	KIT4YW1520	Kit 4pç 1520ml Retangular	R$ 44,39	7898972482961	7013.49.00	GB IMPORTADORA	R$ 1.775,60
26	KJP002	Kit Jardinagem 3 Peças Pazinha Garfo Plástico Preto	R$ 3,60			GB IMPORTADORA	R$ 93,60
14	KJP003	Kit Jardinagem 3 Peças Pazinha Garfo Plástico Marrom	R$ 3,60			GB IMPORTADORA	R$ 50,40
17	KJP004	Kit Jardinagem 3 Peças Pazinha Garfo Plástico Cinza	R$ 3,60			GB IMPORTADORA	R$ 61,20
150	PCM001	Kit 6 Porta Copos MDF 6mm c/ Suporte Budamix	R$ 1,04			BUDAMIX	R$ 156,00
149	DPM001	Kit 4 Descanso Panela Modular Quebra-Cabeça MDF Budamix Redondo	R$ 2,39		4411.12.10	BUDAMIX	R$ 356,11
150	DPM002	Kit 4 Descanso Panela Modular Quebra-Cabeça MDF Budamix Quadrado	R$ 2,39			BUDAMIX	R$ 358,50
